iter	MultiClass
0	0.4294220913
1	0.2809010154
2	0.2130641119
3	0.1761032286
4	0.1539005317
5	0.1417284955
6	0.1349136345
7	0.1322186743
8	0.1298493474
9	0.1281614752
10	0.1267989822
11	0.125107249
12	0.1233930966
13	0.1226285031
14	0.12228055
15	0.1212551132
16	0.1206569907
17	0.1196979743
18	0.1195417783
19	0.1193332995
20	0.1187719846
21	0.1185194241
22	0.118279482
23	0.1176807933
24	0.1174642972
25	0.1170873153
26	0.1168210122
27	0.116631546
28	0.1163944838
29	0.1162076725
30	0.1161114349
31	0.1159332596
32	0.1157567544
33	0.1155383701
34	0.1154323348
35	0.1153326053
36	0.1151611149
37	0.115079963
38	0.1149136285
39	0.1148075531
40	0.1145744148
41	0.1145223604
42	0.1144089927
43	0.1143448653
44	0.1142316257
45	0.1141741699
46	0.1140964981
47	0.114065659
48	0.1139534604
49	0.1138566572
50	0.1137807116
51	0.1137406035
52	0.1136685273
53	0.1135840663
54	0.113525963
55	0.1134867514
56	0.1134250746
57	0.1133642643
58	0.1133025009
59	0.1132684351
60	0.1132289404
61	0.1131525634
62	0.1131209578
63	0.1130898024
64	0.1130600316
65	0.1130412668
66	0.1129852876
67	0.1129445441
68	0.112934331
69	0.1128877485
70	0.1128380627
71	0.1128227509
72	0.1127697333
73	0.1127209267
74	0.1126977647
75	0.1126753789
76	0.1125846385
77	0.1125210002
78	0.1124981047
79	0.112482471
80	0.1124659777
81	0.1124508586
82	0.1124088865
83	0.1123241985
84	0.112288821
85	0.1122767994
86	0.1122569115
87	0.112238613
88	0.1122190576
89	0.1121577702
90	0.1121084513
91	0.1120712274
92	0.1120496409
93	0.1120271748
94	0.1120173659
95	0.1119831209
96	0.1119625247
97	0.1119353504
98	0.1119237762
99	0.1119106653
