iter	Passed	Remaining
0	10	1069
1	20	1022
2	30	999
3	41	1004
4	52	992
5	62	975
6	72	966
7	82	946
8	92	933
9	102	920
10	112	908
11	122	897
12	132	886
13	142	876
14	152	863
15	162	854
16	172	843
17	182	833
18	192	820
19	205	823
20	222	838
21	234	831
22	244	819
23	255	810
24	265	797
25	276	787
26	286	774
27	296	762
28	306	750
29	316	738
30	326	727
31	336	715
32	348	707
33	358	696
34	369	685
35	379	674
36	389	664
37	403	657
38	422	660
39	436	655
40	463	666
41	482	665
42	492	652
43	502	639
44	512	626
45	523	614
46	533	602
47	544	589
48	554	577
49	564	564
50	574	551
51	586	541
52	598	531
53	613	522
54	631	516
55	643	505
56	653	493
57	664	481
58	676	470
59	686	457
60	699	446
61	709	434
62	720	422
63	730	410
64	741	399
65	751	387
66	763	375
67	774	364
68	785	353
69	796	341
70	806	329
71	817	318
72	830	307
73	845	297
74	856	285
75	867	273
76	878	262
77	889	250
78	899	238
79	909	227
80	921	216
81	932	204
82	943	193
83	953	181
84	963	169
85	973	158
86	984	147
87	994	135
88	1006	124
89	1018	113
90	1033	102
91	1047	91
92	1058	79
93	1070	68
94	1081	56
95	1091	45
96	1101	34
97	1112	22
98	1122	11
99	1132	0
