year,value,income_group_encoded,groupscommodity_encoded,region_encoded,politicsest_encoded
17.0,12.500237409855137,2,1,3,1
18.0,12.851082074053602,2,1,3,1
19.0,12.923670946108873,2,1,3,1
20.0,12.915587639592935,2,1,3,1
21.0,12.938442943086665,2,1,3,1
17.0,0.0,2,1,0,1
18.0,0.0,2,1,0,1
19.0,0.0,2,1,0,1
20.0,10.154285180632154,2,1,0,1
21.0,10.747229096720554,2,1,0,1
17.0,12.158094901258309,2,1,5,1
18.0,12.458157332641122,2,1,5,1
19.0,12.381877179252262,2,1,5,1
20.0,12.292254928916668,2,1,5,1
21.0,12.631866386360254,2,1,5,1
17.0,15.765344570018765,3,1,2,1
18.0,15.945266221048225,3,1,2,1
19.0,16.15068587321728,3,1,2,1
20.0,16.192702163106038,3,1,2,1
21.0,16.195056784687036,3,1,2,1
17.0,18.649540733257076,2,1,5,1
18.0,18.680084792840315,2,1,5,1
19.0,18.83825293795284,2,1,5,1
20.0,18.65424105989685,2,1,5,1
21.0,18.86825917885226,2,1,5,1
17.0,7.890208213109961,3,1,2,1
18.0,7.85979918056211,3,1,2,1
19.0,3.4339872044851463,3,1,2,1
20.0,0.0,3,1,2,1
21.0,0.0,3,1,2,1
17.0,12.678545099718109,3,1,2,1
18.0,12.776913764456149,3,1,2,1
19.0,12.611607751188453,3,1,2,1
20.0,12.776913764456149,3,1,2,1
21.0,12.729175593569147,3,1,2,1
17.0,19.19041853130537,3,1,0,1
18.0,19.15901064204438,3,1,0,1
19.0,19.20629315674281,3,1,0,1
20.0,19.23338716400651,3,1,0,1
21.0,19.356381873269452,3,1,0,1
17.0,17.239209568397875,0,1,4,0
18.0,17.28688059045552,0,1,4,0
19.0,17.312630083657595,0,1,4,0
20.0,17.392762706603364,0,1,4,0
21.0,17.37285665063076,0,1,4,0
17.0,19.482248287663655,3,1,2,1
18.0,19.47714257274741,3,1,2,1
19.0,19.358104288621803,3,1,2,1
20.0,19.320646802470783,3,1,2,1
21.0,19.426190875339277,3,1,2,1
17.0,13.768583507120837,0,1,1,0
18.0,13.706959402067561,0,1,1,0
19.0,13.852296578889103,0,1,1,0
20.0,13.78900332494568,0,1,1,0
21.0,13.873355791445162,0,1,1,0
17.0,20.1223277838033,0,1,0,0
18.0,20.143544785159985,0,1,0,0
19.0,20.157556422774963,0,1,0,0
20.0,20.158308939395862,0,1,0,0
21.0,20.163099218831896,0,1,0,0
17.0,15.012156889109809,2,1,0,1
18.0,15.025396147273256,2,1,0,1
19.0,15.113902508878681,2,1,0,1
20.0,14.574539575758585,2,1,0,1
21.0,14.599823432709636,2,1,0,1
17.0,17.222590635922405,0,1,4,0
18.0,17.25544780000906,0,1,4,0
19.0,17.201492807664334,0,1,4,0
20.0,16.997722439954657,0,1,4,0
21.0,17.220035762941695,0,1,4,0
17.0,17.473095429992085,2,1,1,1
18.0,17.472674887393577,2,1,1,1
19.0,17.678007149257486,2,1,1,1
20.0,17.712907136824935,2,1,1,1
21.0,17.775008596489293,2,1,1,1
17.0,7.237778191923443,1,1,6,1
18.0,7.901377353792616,1,1,6,1
19.0,0.0,1,1,6,1
20.0,0.0,1,1,6,1
21.0,0.0,1,1,6,1
17.0,12.494258341142519,0,1,3,1
18.0,12.542905531395343,0,1,3,1
19.0,12.591678524740319,0,1,3,1
20.0,12.524530013005734,0,1,3,1
21.0,12.573146829448284,0,1,3,1
17.0,17.703423661493193,3,1,6,1
18.0,17.692474742338774,3,1,6,1
19.0,17.66702766827769,3,1,6,1
20.0,17.40354708230122,3,1,6,1
21.0,17.676429745789854,3,1,6,1
17.0,16.07198134348893,0,1,2,0
18.0,16.006341293746253,0,1,2,0
19.0,15.946978094291255,0,1,2,0
20.0,16.10712438612937,0,1,2,0
